kleur,getal,naam,opmerking,kernwoord,steekwoorden,uitnodiging,waarschuwing,symbolen
groot,O,De Dwaas,De Zot,ONSCHULD,"Onschuld, ongevormd, lichtzinnig, afgrond, nieuw begin, naïef, kinderlijk, ongericht",Doe eens iets spontaans.,Waar is het kind je je gebleven?,"jonge man, roos, staf, zon, berg, hond, bloemenkrans, geel"
groot,I,De Magier,,MEESTERSCHAP,"Bewust van kracht en mogelijkheden, je (leer)proces aangaan, diplomatie, zo boven zo beneden",Richt je op wat je wél kunt.,Je neemt teveel hooi op je vork.,"natuur, roos, lelie,baldakijn, altaar, zwaard, staf, kelk, pentakel, jonge man, ourobouros, lemniscaat, bloemen, geel"
groot,II,De Hogepriesteres,De Pausin,INTUÏTIE,"Beschermkaart, verborgen wijsheid, esoterische kennis, innerlijk conflict, vooruitziend",Laat je eens leiden door je innerlijke stem.,Laat de dingen niet te veel op hun beloop.,"maagd, sluier, kroon, troon, palmhart, granaatappel, maan, kruis, schriftrol, pilaren, boaz, jachin, blauw, waterbron, zwart"
groot,III,De Keizerin,,VRUCHTBAARHEID,"Ontspanning, de overvloed van het leven en de kracht van de bloeiende aarde, moeder, liefde geven en ontvangen",Kijk eens om je heen en geniet.,Leef je in harmonie met je omgeving/de natuur?,"volwassen vrouw, troon, kroon, parels, scepter, venussymbool, stroom, boom, koren"
groot,IV,De Keizer,,GEZAG,"Verwezenlijking, verantwoordelijkheid, zelfhandhaving, bescherming, vader",Neem zelf het heft in handen.,Is er voldoende ruimte voor je gevoelens?,"volwassen man, stroom, berg, troon, kroon, rijksappel, rood kleed,harnas"
groot,V,De Hogepriester,"De Hiërofant, De Paus",LERAAR,"Beschermkaart, religie, geestelijkheid, staan voor je mening, verkondigen, expertise, inspiratie, gewoontegetrouw",Wees niet bang om je mening te delen.,Luister ook goed naar anderen.,"zegening, pilaren, kruis, kroon, adept, rood kleed, sleutel"
groot,VI,De Geliefden,,KEUZE,"Dualiteit mannelijk - vrouwelijk; (sexuele) aantrekkingskracht, bewust van tegenstellingen, samenwerking, onvoorwaardelijk ja, zich losmaken","Maak een definitievem, bindende keuze.",Verlies jezelf niet in deze relatie.,"naaktheid, engel, zegening, appelboom, slang, wolken, bergtop, zon, jonge man, jonge vrouw, paars kleed"
groot,VII,De Zegewagen,,SUCCES,"Wilskracht, zelfdiscipline, controle, tot stand brengen, sprong voorwaarts",Bepaal je koers en hou die vast.,Teugels te strak of zwalkend.,"jonge man, kroon, lauwerkrans, ster (achtpuntig), vierkant, yoni, lingam, sfinx, stadsmuur, hermesvleugels, maan, harnas, baldakijn"
groot,VIII,Gerechtigheid,Waite XI,GERECHTIGHEID,"Oorzaak en gevolg, schuld en boete, rechtvaardig, zelfbeoordeling",Erken je eigen aandeel maar niet meer dan dat.,Zijn je motieven zuiver?,"man, zwaard geheven, weegschaal, vierkant, troon, pilaren, paars kleed, rood kleed, groen kleed, kubus, vrouw"
groot,IX,De Kluizenaar,De Heremiet,TOP,"Je eigen weg gaan, op zoek zijn, dwalen, inkeer, teruggetrokken, voorzichtig, geduldig, zorgvuldig, baken",Volg je eigen licht.,Heb je genoeg aan jezelf?,"oude man, blauw, lantaarn, staf, ster (achtpuntig), afgewend, links, rechts"
